Zip Code,City,State,Population,Population Estimate,Business Annual Payroll,Business First Quarter Payroll,Median Age,Male Population,Female Population,Median Age Female,Median Age Male,Households,Persons Per Household,Income Per Household,Number of Businesses,Number of Employees,Delivery Business,Delivery Residential,Delivery Total,Average House Value,CBSA Population,CBSA Division Population,CBSA Name,CBSA Number,CBSA Type,City Alias Name,State Full Name,State FIPS,County Name,County FIPS,Latitude,Longitude,Region,Division,Area Code,DayLight Savings,Land Area,Water Area,Congressional District,Congressional Land Area,Asian Population,Black or African American Population,American Indian or Alaskan Native Population,Native Hawaiian or other Pacific Islander Population,White Population,Other Population,Growing Counties A,Growing Counties B,Growth Increase Number,Growth Increase Percentage,Growth Rank
"12007","ALCOVE","NY","60","157","851","152","47.7","35","25","51.5","40.9","26","2.31","0","4","21","0","68","648","0","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","ALCOVE","New York","36","ALBANY","001","42.481455","-73.938881","Northeast","Middle Atlantic","518","Y","1.213","0.003","20","1231.28","0","1","1","0","58","0","0","0","0","0","0"
"12009","ALTAMONT","NY","7164","6920","76219","16009","44.5","3570","3594","45.3","43.3","2854","2.5","93975","164","2207","97","2768","3368","261300","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","ALTAMONT","New York","36","ALBANY","001","42.690352","-74.03405","Northeast","Middle Atlantic","518","Y","52.217","0.837","20","1231.28","145","123","31","1","6900","70","0","0","0","0","0"
"12023","BERNE","NY","2196","2115","1472","262","44.6","1119","1077","44.9","44.2","894","2.46","68807","13","40","15","860","919","189700","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","BERNE","New York","36","ALBANY","001","42.607348","-74.178286","Northeast","Middle Atlantic","518","Y","57.592","0.268","19|20","7937.02|1231.28","13","20","5","0","2173","7","0","0","0","0","0"
"12041","CLARKSVILLE","NY","481","172","2081","416","42.7","256","225","43.9","40.5","187","2.57","87566","11","54","0","67","156","160500","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","CLARKSVILLE","New York","36","ALBANY","001","42.556616","-73.986481","Northeast","Middle Atlantic","518","Y","1.582","0","20","1231.28","6","4","1","0","475","3","0","0","0","0","0"
"12045","COEYMANS","NY","584","0","3640","893","34.2","288","296","36","31.6","232","2.52","51389","14","80","0","0","402","152300","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","COEYMANS","New York","36","ALBANY","001","42.47918","-73.79695","Northeast","Middle Atlantic","518","Y","0.734","0.139","20","1231.28","0","30","13","0","563","8","0","0","0","0","0"
"12046","COEYMANS HOLLOW","NY","817","678","2470","402","43.9","404","413","42.6","44.7","321","2.55","82692","9","41","3","266","294","148100","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","COEYMANS HOLLOW","New York","36","ALBANY","001","42.490238","-73.926491","Northeast","Middle Atlantic","518","Y","15.349","2.081","19|20","7937.02|1231.28","7","8","7","0","803","0","0","0","0","0","0"
"12047","COHOES","NY","19664","22597","191981","41753","40","9360","10304","41.4","38.3","8756","2.22","53977","342","3912","363","10179","10787","172400","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","BOGHT CORNERS","New York","36","ALBANY","001","42.786912","-73.723729","Northeast","Middle Atlantic","518","Y","8.83","1.429","20","1231.28","534","1119","162","21","18160","246","0","0","0","0","0"
"12054","DELMAR","NY","16918","17989","82206","18865","44.5","8073","8845","45.8","42.9","6866","2.43","100677","364","2773","359","7403","8048","271600","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","BETHLEHEM","New York","36","ALBANY","001","42.609206","-73.876448","Northeast","Middle Atlantic","518","Y","15.447","0.03","20","1231.28","552","415","83","10","16056","107","0","0","0","0","0"
"12055","DORMANSVILLE","NY","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","883","0","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","DORMANSVILLE","New York","36","ALBANY","001","42.4353","-74.1881","Northeast","Middle Atlantic","518","Y","0","0","21","15114.76","0","0","0","0","0","0","0","0","0","0","0"
"12059","EAST BERNE","NY","1632","1618","1379","283","46.9","838","794","47.1","46.6","672","2.43","84091","15","50","13","666","785","221100","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","EAST BERNE","New York","36","ALBANY","001","42.61835","-74.073585","Northeast","Middle Atlantic","518","Y","25.95","0.699","20","1231.28","6","14","9","0","1619","1","0","0","0","0","0"
"12067","FEURA BUSH","NY","1506","1399","38640","9870","47.1","755","751","47.3","47","620","2.43","75909","28","565","14","576","714","238000","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","FEURA BUSH","New York","36","ALBANY","001","42.554235","-73.911458","Northeast","Middle Atlantic","518","Y","21.411","0.197","20","1231.28","19","21","13","0","1465","10","0","0","0","0","0"
"12077","GLENMONT","NY","6246","6752","132462","30369","41.7","3050","3196","43.5","39.6","2340","2.53","98716","192","3363","117","2669","3049","290400","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","BETHLEHEM CENTER","New York","36","ALBANY","001","42.592428","-73.785603","Northeast","Middle Atlantic","518/838","Y","10.086","0.396","20","1231.28","286","364","25","4","5619","35","0","0","0","0","0"
"12084","GUILDERLAND","NY","4271","4462","53169","12638","37.7","2042","2229","38.7","36.8","1985","2.07","64868","183","1885","129","2156","2739","268100","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","GUILDERLAND","New York","36","ALBANY","001","42.699833","-73.905116","Northeast","Middle Atlantic","518","Y","3.609","0.017","20","1231.28","942","271","18","4","3085","55","0","0","0","0","0"
"12085","GUILDERLAND CENTER","NY","479","261","31631","7733","49.5","178","301","54.9","43.6","195","1.84","43710","43","733","0","142","561","0","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","GUILDERLAND CENTER","New York","36","ALBANY","001","42.7041","-73.9709","Northeast","Middle Atlantic","518","Y","0.176","0","20","1231.28","27","48","5","0","407","10","0","0","0","0","0"
"12107","KNOX","NY","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","100","0","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","KNOX","New York","36","ALBANY","001","42.6711","-74.1161","Northeast","Middle Atlantic","518","Y","0","0","20","1231.28","0","0","0","0","0","0","0","0","0","0","0"
"12110","LATHAM","NY","21908","19111","1246290","303627","38.9","10630","11278","41.4","35.7","7672","2.41","76652","1181","24543","1147","7930","9692","239200","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","LATHAM","New York","36","ALBANY","001","42.75534","-73.780868","Northeast","Middle Atlantic","518","Y","14.686","0.45","20","1231.28","1713","1375","125","16","18818","289","0","0","0","0","0"
"12120","MEDUSA","NY","613","614","296","77","45.6","312","301","47.5","42.8","239","2.56","49732","7","11","4","240","1563","170800","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","MEDUSA","New York","36","ALBANY","001","42.46221","-74.140864","Northeast","Middle Atlantic","518","Y","17.511","0.063","19|20","7937.02|1231.28","0","7","2","0","604","5","0","0","0","0","0"
"12128","NEWTONVILLE","NY","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","204","0","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","LATHAM","New York","36","ALBANY","001","42.7466","-73.7594","Northeast","Middle Atlantic","518","Y","0","0","20","1231.28","0","0","0","0","0","0","0","0","0","0","0"
"12143","RAVENA","NY","5137","5217","34940","7783","39.8","2562","2575","41.3","38.3","2062","2.48","55179","112","871","90","2104","2334","169900","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","RAVENA","New York","36","ALBANY","001","42.487005","-73.848548","Northeast","Middle Atlantic","518","Y","19.361","0.141","19|20","7937.02|1231.28","54","229","29","4","4839","82","0","0","0","0","0"
"12147","RENSSELAERVILLE","NY","499","490","3689","682","51.2","250","249","53.1","50","220","2.27","69375","16","92","4","216","1400","239500","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","RENSSELAERVILLE","New York","36","ALBANY","001","42.506006","-74.155586","Northeast","Middle Atlantic","518","Y","19.665","0.185","20","1231.28","2","6","1","0","492","0","0","0","0","0","0"
"12158","SELKIRK","NY","6309","6671","129959","34926","40.4","3127","3182","41","39.6","2465","2.56","85458","95","1610","45","2606","3112","220400","870716","0","Albany-Schenectady-Troy, NY","10580","Metro","BECKERS CORNERS","New York","36","ALBANY","001","42.529852","-73.839826","Northeast","Middle Atlantic","518","Y","30.595","0.943","20","1231.28","192","246","63","7","5920","39","0","0","0","0","0"
